PerformanceTiming.prototype.fetchStart, property
PerformanceTiming.prototype.domainLookupStart, property
PerformanceTiming.prototype.domainLookupEnd, property
PerformanceTiming.prototype.connectStart, property
PerformanceTiming.prototype.connectEnd, property
PerformanceTiming.prototype.requestStart, property
PerformanceTiming.prototype.responseStart, property
PerformanceTiming.prototype.responseEnd, property
PerformanceTiming.prototype.domLoading, property
PerformanceTiming.prototype.domInteractive, property
PerformanceTiming.prototype.domContentLoadedEventStart, property
PerformanceTiming.prototype.domContentLoadedEventEnd, property
PerformanceTiming.prototype.domComplete, property
PerformanceTiming.prototype.loadEventStart, property
PerformanceTiming.prototype.loadEventEnd, property
PerformanceNavigation.prototype.type, property
PerformanceNavigation.prototype.redirectCount, property
Performance.prototype.timing, property
Performance.prototype.navigation, property
window.performance, property
Document.prototype.hidden, property
Document.prototype.visibilityState, property
ScreenOrientation.prototype.unlock, method
ScreenOrientation.prototype.lock, promise
EventSource.prototype.close, method
HTMLContentElement.prototype.getDistributedNodes, method
TimeEvent.prototype.initTimeEvent, method
SVGSVGElement.prototype.suspendRedraw, method
SVGSVGElement.prototype.unsuspendRedraw, method
SVGSVGElement.prototype.unsuspendRedrawAll, method
SVGSVGElement.prototype.forceRedraw, method
SVGSVGElement.prototype.pauseAnimations, method
SVGSVGElement.prototype.unpauseAnimations, method
SVGSVGElement.prototype.animationsPaused, method
SVGSVGElement.prototype.getCurrentTime, method
SVGSVGElement.prototype.setCurrentTime, method
SVGSVGElement.prototype.deselectAll, method
SVGSVGElement.prototype.createSVGNumber, method
SVGSVGElement.prototype.createSVGLength, method
SVGSVGElement.prototype.createSVGAngle, method
SVGSVGElement.prototype.createSVGPoint, method
SVGSVGElement.prototype.createSVGMatrix, method
SVGSVGElement.prototype.createSVGRect, method
SVGSVGElement.prototype.createSVGTransform, method
SVGSVGElement.prototype.createSVGTransformFromMatrix, method
SVGSVGElement.prototype.getElementById, method
SVGPoint.prototype.matrixTransform, method
SVGMatrix.prototype.multiply, method
SVGMatrix.prototype.translate, method
SVGMatrix.prototype.scale, method
SVGMatrix.prototype.scaleNonUniform, method
SVGMatrix.prototype.rotate, method
SVGMatrix.prototype.flipX, method
SVGMatrix.prototype.flipY, method
SVGMatrix.prototype.skewX, method
SVGMatrix.prototype.skewY, method
SVGTransform.prototype.setMatrix, method
SVGTransform.prototype.setTranslate, method
SVGTransform.prototype.setScale, method
SVGTransform.prototype.setRotate, method
SVGTransform.prototype.setSkewX, method
SVGTransform.prototype.setSkewY, method
SVGTransformList.prototype.clear, method
SVGTransformList.prototype.initialize, method
SVGTransformList.prototype.getItem, method
SVGTransformList.prototype.insertItemBefore, method
SVGTransformList.prototype.replaceItem, method
SVGTransformList.prototype.removeItem, method
SVGTransformList.prototype.appendItem, method
SVGTransformList.prototype.createSVGTransformFromMatrix, method
SVGTransformList.prototype.consolidate, method
SVGPathElement.prototype.getTotalLength, method
SVGPathElement.prototype.getPointAtLength, method
SVGPathElement.prototype.getPathSegAtLength, method
SVGPathElement.prototype.createSVGPathSegClosePath, method
SVGPathElement.prototype.createSVGPathSegMovetoAbs, method
SVGPathElement.prototype.createSVGPathSegMovetoRel, method
SVGPathElement.prototype.createSVGPathSegLinetoAbs, method
SVGPathElement.prototype.createSVGPathSegLinetoRel, method
SVGPathElement.prototype.createSVGPathSegCurvetoCubicAbs, method
SVGPathElement.prototype.createSVGPathSegCurvetoCubicRel, method
SVGPathElement.prototype.createSVGPathSegCurvetoQuadraticAbs, method
SVGPathElement.prototype.createSVGPathSegCurvetoQuadraticRel, method
SVGPathElement.prototype.createSVGPathSegArcAbs, method
SVGPathElement.prototype.createSVGPathSegArcRel, method
SVGPathElement.prototype.createSVGPathSegLinetoHorizontalAbs, method
SVGPathElement.prototype.createSVGPathSegLinetoHorizontalRel, method
SVGPathElement.prototype.createSVGPathSegLinetoVerticalAbs, method
SVGPathElement.prototype.createSVGPathSegLinetoVerticalRel, method
SVGPathElement.prototype.createSVGPathSegCurvetoCubicSmoothAbs, method
SVGPathElement.prototype.createSVGPathSegCurvetoCubicSmoothRel, method
SVGPathElement.prototype.createSVGPathSegCurvetoQuadraticSmoothAbs, method
SVGPathElement.prototype.createSVGPathSegCurvetoQuadraticSmoothRel, method
SVGTextContentElement.prototype.getNumberOfChars, method
SVGTextContentElement.prototype.getComputedTextLength, method
SVGTextContentElement.prototype.getSubStringLength, method
SVGTextContentElement.prototype.getStartPositionOfChar, method
SVGTextContentElement.prototype.getEndPositionOfChar, method
SVGTextContentElement.prototype.getExtentOfChar, method
SVGTextContentElement.prototype.getRotationOfChar, method
SVGTextContentElement.prototype.getCharNumAtPosition, method
SVGTextContentElement.prototype.selectSubString, method
SVGMarkerElement.prototype.setOrientToAuto, method
SVGMarkerElement.prototype.setOrientToAngle, method
SVGAnimationElement.prototype.getStartTime, method
SVGAnimationElement.prototype.getCurrentTime, method
SVGAnimationElement.prototype.getSimpleDuration, method
window.requestAnimationFrame, method
window.cancelAnimationFrame, method
Navigator.prototype.vibrate, method
AudioContext.prototype.createBuffer, method
AudioContext.prototype.decodeAudioData, method
AudioContext.prototype.createBufferSource, method
AudioContext.prototype.createMediaElementSource, method
AudioContext.prototype.createMediaStreamSource, method
AudioContext.prototype.createMediaStreamDestination, method
AudioContext.prototype.createScriptProcessor, method
